
Degree,Skills,Experience,CGPA,Competitive Exam,Future Goal,Interest,Financial Support,Advice
BTech CIVIL,"Staad Pro, Revit, Python","Research Internship",9.05,GATE,Research,"Structural AI",High,"With an excellent 9.05 CGPA and a research internship, you're positioned for a top-tier MTech/PhD in Structural Engineering. Focus on a high GATE score to enter IITs/IISc, and consider applying to universities abroad given your high financial support."
BTech CIVIL,"Primavera, MS Project, Construction Mgmt","2+ years",8.2,CAT,"Project Management","Infra-tech",Medium,"Your 2+ years of experience and skills in project management software make you a strong candidate for a techno-managerial role. Prepare for CAT to aim for an MBA in Infrastructure Management. Your practical experience is your biggest asset."
BTech CIVIL,"AutoCAD, GIS, Python","1 year",7.8,None,"Core Job","Urban Planning",Low,"Your skills in GIS and Python open up niche roles in urban planning and smart city projects. Focus on off-campus applications to specialized firms and build a portfolio showcasing GIS data analysis projects to compensate for a sub-8 CGPA."
BTech CIVIL,"Surveying, AutoCAD, Quantity Surveying","Site Internship",7.5,SSC JE,"Govt Job","Public Sector",Medium,"Your practical skills and site internship are ideal for a government engineering role. Focus your energy on cracking the SSC JE exam. Concurrently, apply to private construction firms as a solid backup plan."
BTech CIVIL,"Construction Mgmt, AutoCAD, BIM","1 year",8.8,None,Freelancing,Design,High,"With a strong 8.8 CGPA and skills in BIM, you can build a successful freelance career in architectural visualization and design. Create a high-quality portfolio on platforms like Behance and Upwork to attract international clients."
BTech ECE,"SystemVerilog, UVM, Python","VLSI Internship",9.2,GATE,"Core Job",VLSI,Medium,"Your outstanding 9.2 CGPA and specialized VLSI skills make you a top candidate for core semiconductor companies like Intel or Qualcomm. A high GATE score for an MTech in VLSI from a top IIT would further elevate your profile."
BTech ECE,"C++, RTOS, CAN protocol","Automotive Internship",8.7,None,"Embedded Systems Engineer","Automotive Electronics",Low,"Target automotive companies like Robert Bosch or Continental. Your experience with RTOS and CAN protocol is highly relevant. Since finances are a concern, focus on securing a job immediately. Highlight your hands-on internship projects."
BTech ECE,"Python, TensorFlow, Data Structures","AI/ML Internship",8.5,None,"Software Job","AI/ML",Medium,"You have successfully pivoted towards AI/ML. Solidify your DSA skills for coding rounds and apply to product companies for ML Engineer roles. Your ECE background is a plus for roles in Edge AI and IoT."
BTech ECE,"Java, Spring Boot, Microservices","1 year",7.9,CDAC,"Software Job",Backend,Low,"With 1 year of experience in the Java ecosystem, you are well-positioned for backend roles. Since your CGPA is under 8, focus on startups and mid-sized companies. Consider the CDAC PG-DAC course to bridge any gaps and get access to their placement drives."
BTech ECE,"Leadership, Communication, Aptitude","College Club President",9.0,CAT,MBA,Marketing,High,"With a stellar CGPA and leadership experience, you have a strong profile for a top IIM. Focus intensely on achieving a 99+ percentile in CAT. Your ECE background can be a unique differentiator for tech marketing or product management roles."
